Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1,Ordenar0,OrdenarM,Ordenar1
11150,0.0004,0.0004,0.0003,0.1143,0.0865,0.0799,0.1307,0.1597,0.1755,0.4758,0.413,0.3502
11200,0.0005,0.0004,0.0003,0.2046,0.1733,0.134,0.1626,0.1509,0.1995,0.3868,0.38905,0.3913
11250,0.0005,0.0005,0.0003,0.1061,0.0824,0.0628,0.1302,0.1527,0.176,0.3536,0.3545,0.3554
11300,0.0004,0.0021,0.0017,0.7999,0.5243,0.3441,0.2485,0.181,0.1798,0.358,0.35855,0.3591
11350,0.0004,0.0004,0.0003,0.1559,0.127,0.0604,0.144,0.1584,0.1788,0.3607,0.3808,0.4009
11400,0.0004,0.0003,0.0002,0.1151,0.1229,0.0613,0.1347,0.1907,0.188,0.368,0.37005,0.3721
11450,0.0005,0.0009,0.0004,0.4293,0.2653,0.1647,0.3168,0.1945,0.2124,0.3662,0.3911,0.416
11500,0.0007,0.0006,0.0003,0.1248,0.0913,0.0584,0.1325,0.155,0.1814,0.4089,0.4237,0.4385
11550,0.0005,0.0008,0.0003,0.2695,0.2548,0.1243,0.1367,0.1622,0.1807,0.3778,0.37705,0.3763
11600,0.0005,0.0004,0.0003,0.1722,0.1288,0.0599,0.1345,0.1569,0.1808,0.3749,0.37315,0.3714
11650,0.0005,0.0005,0.0003,0.1411,0.1018,0.0592,0.1355,0.1586,0.1826,0.3811,0.37755,0.374
11700,0.0005,0.0009,0.0004,0.2664,0.4699,0.2055,0.1555,0.1669,0.1866,0.3723,0.37215,0.372
11750,0.0005,0.0003,0.0004,0.1072,0.0945,0.0573,0.1315,0.1537,0.2721,0.3545,0.35675,0.359
11800,0.0004,0.0003,0.0002,0.146,0.1127,0.0607,0.1507,0.1531,0.1756,0.3791,0.37925,0.3794
11850,0.0005,0.0006,0.0003,0.1481,0.17,0.1125,0.147,0.1654,0.1851,0.3803,0.38865,0.397
11900,0.0004,0.0004,0.0003,0.1999,0.1468,0.0856,0.1392,0.1632,0.1864,0.3923,0.38655,0.3808
11950,0.0004,0.0006,0.0004,0.3402,0.3003,0.1465,0.1599,0.1753,0.1967,0.383,0.38285,0.3827
12000,0.0004,0.0003,0.0003,0.1076,0.1333,0.0772,0.1473,0.1657,0.1919,0.3844,0.38535,0.3863
12050,0.0005,0.0009,0.0004,0.1904,0.1643,0.0877,0.1469,0.1695,0.1939,0.3911,0.3879,0.3847
12100,0.0005,0.0005,0.0003,0.1379,0.0962,0.0598,0.1349,0.1985,0.2401,0.4229,0.40645,0.39
12150,0.0005,0.0004,0.0003,0.2141,0.1683,0.0909,0.1432,0.1656,0.1891,0.392,0.3906,0.3892
12200,0.0005,0.0004,0.0003,0.1542,0.1179,0.0633,0.1513,0.1561,0.1792,0.4874,0.44585,0.4043
12250,0.0004,0.0006,0.0003,0.1712,0.1401,0.1185,0.1463,0.1623,0.2337,0.3949,0.3943,0.3937
12300,0.0004,0.0003,0.0003,0.1398,0.1238,0.0761,0.1416,0.1642,0.1883,0.3957,0.39625,0.3968
12350,0.0005,0.0005,0.0002,0.2128,0.2003,0.1588,0.1593,0.1833,0.1982,0.3999,0.40085,0.4018
12400,0.0004,0.0006,0.0003,0.144,0.1048,0.0633,0.1436,0.1675,0.1928,0.4068,0.404,0.4012
12450,0.0004,0.0004,0.0003,0.3675,0.3367,0.1074,0.1659,0.1733,0.1956,0.4324,0.41845,0.4045
12500,0.0004,0.0004,0.0003,0.1415,0.1081,0.0656,0.147,0.171,0.1971,0.4083,0.4061,0.4039
12550,0.0004,0.0007,0.0003,0.1496,0.1486,0.1239,0.1459,0.1694,0.1965,0.4256,0.43325,0.4409
12600,0.0005,0.0003,0.0003,0.1835,0.1505,0.0979,0.1442,0.168,0.1928,0.4085,0.40745,0.4064
12650,0.0005,0.0003,0.0003,0.11,0.1451,0.1034,0.1745,0.1867,0.2109,0.4051,0.39515,0.3852
12700,0.0004,0.0009,0.0003,0.3411,0.17,0.0645,0.1485,0.1779,0.1979,0.4065,0.40905,0.4116
12750,0.0005,0.0017,0.0002,0.4679,0.1706,0.0658,0.1494,0.1791,0.201,0.4058,0.40695,0.4081
12800,0.0004,0.0003,0.0003,0.0829,0.1087,0.0843,0.1547,0.2262,0.2018,0.4065,0.4109,0.4153
12850,0.0005,0.0005,0.0003,0.2203,0.1421,0.0652,0.149,0.1742,0.2155,0.4092,0.42955,0.4499
12900,0.0005,0.0012,0.0003,0.1821,0.1332,0.0664,0.1482,0.1732,0.2017,0.4168,0.4132,0.4096
12950,0.0005,0.0006,0.0003,0.3792,0.4197,0.2872,0.1893,0.1911,0.2115,0.4121,0.41125,0.4104
13000,0.0005,0.0004,0.0003,0.1043,0.0854,0.0667,0.1529,0.179,0.211,0.4108,0.4161,0.4214
13050,0.0007,0.0008,0.0004,0.2623,0.2715,0.1311,0.159,0.2031,0.2141,0.4129,0.41165,0.4104
13100,0.0005,0.0004,0.0003,0.1686,0.1126,0.0644,0.1509,0.1707,0.1973,0.4426,0.41825,0.3939
13150,0.0004,0.0016,0.0005,0.426,0.4316,0.3446,0.2411,0.1782,0.2065,0.4177,0.41595,0.4142
13200,0.0004,0.0003,0.0003,0.171,0.1258,0.0679,0.1513,0.1758,0.2029,0.4149,0.41515,0.4154
13250,0.0005,0.0012,0.0004,0.7385,0.6032,0.3963,0.3285,0.2214,0.2563,0.4381,0.4339,0.4297
13300,0.0005,0.0003,0.0003,0.1966,0.1689,0.0813,0.2311,0.1707,0.1968,0.3996,0.40825,0.4169
13350,0.0005,0.0006,0.0002,0.1883,0.2859,0.2555,0.2689,0.1881,0.2779,0.4015,0.4023,0.4031
13400,0.0005,0.0008,0.0003,0.0938,0.0853,0.0648,0.1483,0.1719,0.1975,0.562,0.483,0.404
13450,0.0004,0.0005,0.0003,0.2822,0.1943,0.0884,0.1601,0.1835,0.2554,0.4301,0.42855,0.427
13500,0.0005,0.0003,0.0003,0.1414,0.1881,0.0705,0.1539,0.1732,0.1987,0.4057,0.4247,0.4437
13550,0.0005,0.0005,0.0003,0.12,0.1317,0.2922,0.953,0.882,0.2227,0.4345,0.4908,0.5471
13600,0.0004,0.0003,0.0002,0.169,0.144,0.0905,0.1565,0.1826,0.2183,0.4848,0.4667,0.4486
13650,0.0004,0.001,0.0002,0.4343,0.3266,0.1872,0.2665,0.2188,0.2426,0.4586,0.48105,0.5035
13700,0.0007,0.0006,0.0004,0.152,0.158,0.1012,0.1604,0.1933,0.2179,0.4306,0.4316,0.4326
13750,0.0005,0.0017,0.0003,0.5674,0.3,0.4297,0.3182,0.2246,0.2195,0.431,0.4304,0.4298
13800,0.0004,0.0004,0.0003,0.1026,0.1303,0.0964,0.1608,0.1843,0.2153,0.4306,0.4298,0.429
13850,0.0004,0.0009,0.0003,0.3589,0.3949,0.2145,0.1643,0.1847,0.2086,0.4392,0.4396,0.44
13900,0.0005,0.0004,0.0003,0.1447,0.1214,0.0728,0.1603,0.1887,0.2218,0.4389,0.442,0.4451
13950,0.0005,0.001,0.0004,0.2358,0.2006,0.0805,0.1613,0.1883,0.2168,0.4438,0.44235,0.4409
14000,0.0005,0.0005,0.0003,0.0999,0.1194,0.0737,0.1629,0.1971,0.2171,0.4357,0.43665,0.4376
14050,0.0004,0.0004,0.0003,0.1718,0.5165,0.4071,0.4707,0.3567,0.3219,0.4813,0.46365,0.446
14100,0.0004,0.0003,0.0003,0.207,0.1905,0.1112,0.1695,0.2396,0.251,0.4862,0.4641,0.442
14150,0.0005,0.0005,0.0003,0.1828,0.1311,0.073,0.1638,0.1922,0.2206,0.4471,0.44555,0.444
14200,0.0004,0.0015,0.0002,0.3903,0.2734,0.078,0.1724,0.1966,0.2255,0.4354,0.43725,0.4391
14250,0.0004,0.0011,0.0003,0.2429,0.1791,0.1181,0.177,0.2036,0.2288,0.4398,0.4377,0.4356
14300,0.0005,0.0004,0.0003,0.1962,0.1636,0.1075,0.1666,0.1922,0.2366,0.4794,0.49275,0.5061
14350,0.0005,0.0007,0.0005,0.3759,0.2277,0.1725,0.1784,0.1977,0.2259,0.4411,0.52905,0.617
14400,0.0005,0.0008,0.0003,0.2264,0.162,0.0845,0.1541,0.2712,0.219,0.4224,0.4324,0.4424
14450,0.0005,0.0008,0.0003,0.2757,0.1763,0.078,0.172,0.2048,0.2252,0.4465,0.44595,0.4454
14500,0.0004,0.0005,0.0003,0.1816,0.1292,0.0733,0.1664,0.1949,0.2244,0.4939,0.4752,0.4565
14550,0.0006,0.001,0.0003,0.2841,0.3569,0.0966,0.1648,0.2113,0.3197,0.4949,0.46115,0.4274
14600,0.0004,0.0003,0.0002,0.1619,0.1624,0.1288,0.1821,0.1968,0.2292,0.4575,0.4532,0.4489
14650,0.0005,0.0009,0.0004,0.2261,0.1885,0.1072,0.1651,0.1939,0.2231,0.4521,0.45205,0.452
14700,0.0004,0.0003,0.0003,0.2505,0.4207,0.134,0.1874,0.2029,0.2427,0.4503,0.45135,0.4524
14750,0.0004,0.0003,0.0003,0.1747,0.1797,0.0914,0.1705,0.2099,0.2504,0.4541,0.4531,0.4521
14800,0.0004,0.0005,0.0005,0.2526,0.2132,0.1406,0.1866,0.2063,0.3182,0.455,0.452,0.449
14850,0.0005,0.0004,0.0003,0.2266,0.2206,0.0967,0.1741,0.2091,0.2455,0.451,0.45065,0.4503
14900,0.0004,0.001,0.0004,0.2948,0.2143,0.076,0.2116,0.1934,0.2219,0.4583,0.45855,0.4588
14950,0.0005,0.0003,0.0003,0.1442,0.123,0.077,0.1728,0.2191,0.2319,0.4655,0.46325,0.461
15000,0.0005,0.0005,0.0004,0.1972,0.1595,0.078,0.1764,0.2862,0.2404,0.4569,0.4579,0.4589
15050,0.0007,0.0007,0.0003,0.2489,0.1802,0.0809,0.1744,0.2032,0.2437,0.4555,0.4552,0.4549
15100,0.0005,0.0008,0.0003,0.2674,0.2514,0.0808,0.1856,0.2101,0.2368,0.4589,0.4801,0.5013
15150,0.0004,0.0005,0.0004,0.1711,0.1371,0.0879,0.1809,0.2065,0.2397,0.4644,0.4769,0.4894
15200,0.0005,0.0003,0.0003,0.1819,0.1536,0.0836,0.177,0.2131,0.2531,0.4659,0.46465,0.4634
15250,0.0005,0.0006,0.0003,0.2034,0.1434,0.0799,0.1795,0.2534,0.2426,0.5057,0.48575,0.4658
15300,0.0008,0.0014,0.0003,0.3524,0.2086,0.0797,0.18,0.215,0.2428,0.4852,0.4732,0.4612
15350,0.0005,0.0005,0.0003,0.1398,0.1058,0.0774,0.1754,0.2046,0.2813,0.4612,0.46145,0.4617
15400,0.0004,0.0013,0.0003,0.2266,0.196,0.0822,0.1775,0.21,0.2486,0.4676,0.46675,0.4659
15450,0.0004,0.0015,0.0003,0.446,0.327,0.1304,0.1821,0.2083,0.2452,0.4709,0.4704,0.4699
15500,0.0005,0.0004,0.0003,0.2836,0.187,0.082,0.1769,0.2133,0.2653,0.4748,0.4733,0.4718
15550,0.0005,0.0012,0.0003,0.9856,0.2541,0.1825,0.186,0.2115,0.2466,0.4763,0.4755,0.4747
15600,0.0005,0.0007,0.0003,0.2406,0.2564,0.1324,0.1855,0.2085,0.2408,0.4762,0.47805,0.4799
15650,0.0005,0.0003,0.0003,0.2458,0.164,0.0807,0.1781,0.209,0.2865,0.4742,0.47415,0.4741
15700,0.0005,0.0003,0.0004,0.2397,0.227,0.1375,0.1803,0.2296,0.2563,0.4796,0.5198,0.56
15750,0.0004,0.0005,0.0003,0.2762,0.1888,0.0777,0.2102,0.2179,0.233,0.4738,0.4728,0.4718
15800,0.0005,0.0011,0.0003,0.3359,0.3364,0.1542,0.1976,0.2145,0.2467,0.4701,0.47105,0.472
15850,0.0004,0.0004,0.0004,0.2008,0.1766,0.1172,0.1828,0.2127,0.2425,0.4719,0.47315,0.4744
15900,0.0004,0.0003,0.0003,0.1794,0.2346,0.1656,0.1998,0.2183,0.2587,0.4769,0.47525,0.4736
15950,0.0004,0.0004,0.0003,0.2388,0.1716,0.0815,0.1806,0.2131,0.2436,0.4779,0.4775,0.4771
16000,0.0006,0.0004,0.0004,0.4679,0.3544,0.142,0.1757,0.2048,0.2644,0.504,0.51585,0.5277
16050,0.0006,0.0004,0.0003,0.2236,0.1767,0.1246,0.1947,0.2212,0.2514,0.4849,0.48665,0.4884
16100,0.0005,0.0719,0.0004,0.3905,0.2452,0.1908,0.2295,0.2924,0.2775,0.4838,0.48125,0.4787
16150,0.0004,0.0007,0.0002,0.2494,0.1985,0.1701,0.3006,0.3002,0.3023,0.483,0.5092,0.5354
16200,0.0007,0.0007,0.0003,0.3161,0.2823,0.2079,0.2413,0.2275,0.251,0.4884,0.51225,0.5361
16250,0.0004,0.0011,0.0003,0.3702,0.4358,0.1599,0.1897,0.2218,0.2598,0.4871,0.4855,0.4839
16300,0.0004,0.0008,0.0003,0.2642,0.2435,0.1618,0.1946,0.2214,0.2588,0.494,0.50695,0.5199
16350,0.0005,0.0003,0.0003,0.184,0.1555,0.0831,0.1877,0.2705,0.2606,0.4974,0.4966,0.4958
16400,0.0005,0.0014,0.0003,0.2204,0.1995,0.0853,0.1894,0.2215,0.256,0.4925,0.49205,0.4916
16450,0.0005,0.0007,0.0004,0.4688,0.319,0.3073,0.3493,0.3035,0.4673,0.5268,0.50985,0.4929
16500,0.0004,0.0004,0.0003,0.2367,0.1674,0.0808,0.1804,0.2935,0.2432,0.6638,0.6571,0.6504
16550,0.0005,0.0013,0.0003,0.3136,0.2058,0.0862,0.1962,0.2196,0.254,0.5002,0.50305,0.5059
16600,0.0004,0.0008,0.0003,0.3147,0.2647,0.1604,0.1898,0.2244,0.2688,0.5102,0.51235,0.5145
16650,0.001,0.0007,0.0004,0.2671,0.2892,0.1025,0.2086,0.2552,0.2689,0.5073,0.50425,0.5012
16700,0.0005,0.0006,0.0003,0.6855,0.3101,0.3198,0.2909,0.2846,0.3432,0.5288,0.5174,0.506
16750,0.0005,0.0004,0.0004,0.2906,0.2111,0.1135,0.1806,0.2109,0.2623,0.5397,0.6231,0.7065
16800,0.0005,0.0006,0.0003,0.339,0.4299,0.2866,0.2142,0.277,0.2854,0.5569,0.5572,0.5575
16850,0.0004,0.0005,0.0003,0.2852,0.2664,0.0882,0.1847,0.2603,0.2495,0.5453,0.52725,0.5092
16900,0.0005,0.0012,0.0002,0.2643,0.1899,0.0899,0.2084,0.2188,0.2532,0.4874,0.5242,0.561
16950,0.0005,0.0005,0.0003,0.2208,0.1964,0.1326,0.2131,0.2346,0.2658,0.5157,0.51725,0.5188
17000,0.0005,0.0004,0.0003,0.176,0.1868,0.0952,0.2101,0.2351,0.3145,0.5351,0.54605,0.557
17050,0.0005,0.001,0.0004,0.331,0.3475,0.2705,0.2118,0.246,0.2936,0.5412,0.5198,0.4984
17100,0.0005,0.0004,0.0004,0.1648,0.2001,0.1339,0.1888,0.2265,0.2678,0.5883,0.55255,0.5168
17150,0.0005,0.0004,0.0004,0.2308,0.1802,0.087,0.1874,0.2772,0.3179,0.5299,0.57485,0.6198
17200,0.0008,0.0005,0.0003,0.551,0.3124,0.4077,0.2434,0.2427,0.2743,0.5255,0.5222,0.5189
17250,0.0005,0.0005,0.0003,0.4642,0.2731,0.2694,0.2629,0.3461,0.289,0.9943,0.80765,0.621
17300,0.0008,0.0008,0.0003,0.3355,0.3151,0.2269,0.2253,0.2583,0.3025,0.5538,0.56245,0.5711
17350,0.0005,0.0004,0.0003,0.2747,0.2239,0.0921,0.2164,0.2404,0.2609,0.5143,0.5529,0.5915
17400,0.0005,0.0005,0.0002,0.3821,0.2394,0.15,0.2002,0.2413,0.2705,0.5356,0.53305,0.5305
17450,0.0004,0.0003,0.0004,0.2327,0.1905,0.1371,0.1968,0.2395,0.2692,0.5323,0.5314,0.5305
17500,0.0004,0.0004,0.0004,0.3186,0.3388,0.1998,0.2147,0.2348,0.2726,0.5356,0.535,0.5344
17550,0.0004,0.0004,0.0003,0.2883,0.3654,0.1013,0.2059,0.237,0.3023,0.5429,0.54665,0.5504
17600,0.0007,0.0003,0.0003,0.2218,0.2,0.0879,0.2367,0.2831,0.3156,0.5425,0.54385,0.5452
17650,0.0005,0.0011,0.0003,0.3312,0.8355,0.2778,0.2464,0.2448,0.2781,0.5918,0.57075,0.5497
17700,0.0005,0.0003,0.0003,0.2348,0.2677,0.1276,0.1963,0.2638,0.2741,0.5459,0.5462,0.5465
17750,0.0005,0.0007,0.0003,0.2668,0.1915,0.0883,0.197,0.2368,0.266,0.6398,0.5924,0.545
17800,0.0004,0.0011,0.0003,0.2728,0.2134,0.0927,0.2047,0.2389,0.2828,0.6683,0.61605,0.5638
17850,0.0005,0.0005,0.0003,0.2609,0.2217,0.0971,0.2082,0.2441,0.2922,0.5587,0.58425,0.6098
17900,0.0005,0.0008,0.0004,0.3027,0.2121,0.0921,0.2047,0.2463,0.2759,0.5471,0.54825,0.5494
17950,0.0005,0.0004,0.0003,0.2333,0.1957,0.1088,0.2332,0.2615,0.3142,0.5538,0.5931,0.6324
18000,0.0006,0.0004,0.0003,0.1915,0.1622,0.0922,0.2064,0.2432,0.2958,0.5573,0.56155,0.5658
18050,0.0005,0.0007,0.0003,0.249,0.2121,0.099,0.2072,0.2479,0.2775,0.6545,0.6168,0.5791
18100,0.0006,0.0005,0.0003,0.4263,0.2801,0.1083,0.2076,0.2531,0.2803,0.5558,0.55605,0.5563
18150,0.0005,0.0013,0.0003,0.2603,0.1953,0.0956,0.2135,0.2456,0.2825,0.5571,0.5779,0.5987
18200,0.0005,0.0006,0.0007,0.253,0.2006,0.1002,0.211,0.25,0.3065,0.5623,0.57905,0.5958
18250,0.0006,0.0014,0.0004,0.5977,0.3832,0.1994,0.2135,0.2456,0.2871,0.5659,0.5661,0.5663
18300,0.0004,0.0003,0.0003,0.2973,0.3255,0.6813,0.9849,0.4101,0.3993,0.7483,0.6447,0.5411
18350,0.0004,0.0007,0.0004,0.2928,0.1504,0.0898,0.2297,0.2856,0.2823,0.5732,0.57375,0.5743
18400,0.0006,0.0007,0.0003,0.2454,0.356,0.2316,0.2501,0.2555,0.2687,0.694,0.61705,0.5401
18450,0.0004,0.0003,0.0003,0.2394,0.4225,0.6797,0.8211,0.3757,0.459,0.5884,0.6558,0.7232
18500,0.0004,0.0003,0.0003,0.263,0.1943,0.0909,0.1991,0.2325,0.2781,0.5961,0.6392,0.6823
18550,0.0004,0.001,0.0003,0.2707,0.2088,0.103,0.2124,0.2523,0.2908,0.5828,0.5921,0.6014
18600,0.0008,0.0011,0.0003,0.5814,0.3456,0.1945,0.2145,0.2593,0.3074,0.5885,0.5923,0.5961
18650,0.0004,0.0011,0.0003,0.2719,0.2021,0.0954,0.2111,0.2561,0.3374,0.5832,0.66245,0.7417
18700,0.0007,0.0009,0.0003,0.2785,0.3921,0.2382,0.2802,0.2527,0.2885,0.5615,0.561,0.5605
18750,0.0004,0.0004,0.0003,0.1807,0.1881,0.1804,0.2338,0.2584,0.3052,0.6312,0.66305,0.6949
18800,0.0004,0.0005,0.0003,0.3019,0.1999,0.1154,0.2078,0.2438,0.2815,0.8741,0.75125,0.6284
18850,0.0006,0.0007,0.0003,0.2803,0.2942,0.1052,0.2212,0.2615,0.2917,0.5905,0.5903,0.5901
18900,0.0005,0.0006,0.0003,0.2212,0.2542,0.1625,0.2159,0.271,0.3081,0.7649,0.6889,0.6129
18950,0.0004,0.0004,0.0003,0.2278,0.2562,0.1702,0.2331,0.2807,0.3264,0.654,0.62465,0.5953
19000,0.0006,0.0003,0.0003,0.2254,0.2059,0.1059,0.2187,0.2588,0.2946,0.5996,0.6025,0.6054
19050,0.0005,0.0011,0.0005,0.4575,0.2703,0.1585,0.2141,0.2579,0.2898,0.6993,0.6636,0.6279
19100,0.0004,0.0007,0.0003,0.3026,0.2223,0.0984,0.2252,0.2552,0.3147,0.6083,0.6172,0.6261
19150,0.0004,0.001,0.0003,0.3046,0.2464,0.1774,0.2206,0.2589,0.2918,0.6026,0.60225,0.6019
19200,0.0005,0.0015,0.0005,1.0561,0.3163,0.1807,0.2245,0.2806,0.3052,0.6096,0.615,0.6204
19250,0.0008,0.0004,0.0003,0.2257,0.1699,0.0991,0.2211,0.2589,0.314,0.6053,0.62275,0.6402
19300,0.0005,0.0005,0.0003,0.3153,0.2277,0.1101,0.2259,0.2681,0.3041,0.6075,0.6268,0.6461
19350,0.0005,0.0009,0.0006,0.2998,0.2476,0.1328,0.221,0.2541,0.2939,0.6102,0.60985,0.6095
19400,0.0005,0.0004,0.0003,0.2862,0.2789,0.1827,0.2419,0.2633,0.3354,0.9147,0.82705,0.7394
19450,0.0007,0.0011,0.0003,0.2835,0.2437,0.1432,0.2792,0.2527,0.3173,0.6214,0.6386,0.6558
19500,0.0004,0.0007,0.0003,0.3473,0.2399,0.103,0.2286,0.2619,0.3031,0.6314,0.7688,0.9062
19550,0.0005,0.0011,0.0003,0.3515,0.2437,0.1012,0.2268,0.2943,0.3381,0.6785,0.69355,0.7086
19600,0.0008,0.0006,0.0002,0.3592,0.2968,0.1083,0.2372,0.2635,0.3245,0.6363,0.63435,0.6324
19650,0.0005,0.0008,0.0003,0.3051,0.3238,0.1591,0.2227,0.2576,0.2953,0.6337,0.632,0.6303
19700,0.0005,0.0005,0.0003,0.4505,0.2911,0.1674,0.2322,0.2701,0.3069,0.6352,0.64115,0.6471
19750,0.0005,0.0004,0.0002,0.2325,0.2009,0.1044,0.2414,0.2633,0.3033,0.6398,0.6477,0.6556
19800,0.0006,0.0013,0.0003,0.319,0.231,0.1,0.2482,0.2708,0.3077,0.6663,0.6606,0.6549
19850,0.0005,0.0007,0.0003,0.2738,0.1998,0.1221,0.2399,0.2642,0.3046,0.6518,0.64265,0.6335
19900,0.0004,0.0009,0.0002,0.2686,0.2341,0.1036,0.234,0.2676,0.3111,0.6342,0.63555,0.6369
19950,0.0005,0.0007,0.0003,0.3227,0.4674,0.3936,0.3136,0.2756,0.3094,0.635,0.6365,0.638
20000,0.0006,0.0006,0.0003,0.2922,0.279,0.203,0.2462,0.6118,1.0676,0.645,0.6942,0.7434
20050,0.0005,0.0006,0.0003,0.4866,0.2931,0.1133,0.2636,0.2775,0.3119,0.637,0.628,0.619
20100,0.0005,0.0006,0.0003,0.2978,0.2042,0.1025,0.233,0.2761,0.331,0.6611,0.68105,0.701
20150,0.0004,0.0008,0.0003,0.4092,0.3353,0.158,0.2547,0.2777,0.3108,0.6699,0.66255,0.6552
20200,0.0004,0.0008,0.0003,0.321,0.246,0.1054,0.2326,0.2749,0.3119,0.6468,0.6532,0.6596
20250,0.0004,0.0011,0.0003,0.3115,0.2625,0.2004,0.2346,0.2667,0.3076,0.6487,0.6482,0.6477
20300,0.0005,0.0008,0.0003,0.3436,0.429,0.2191,0.2614,0.2858,0.3279,0.652,0.6503,0.6486
20350,0.0004,0.0003,0.0003,0.2345,0.2902,0.1464,0.3078,0.3174,0.3562,0.6845,0.6533,0.6221
20400,0.0005,0.0004,0.0003,0.3632,0.3405,0.107,0.2236,0.2691,0.4102,0.8015,0.7288,0.6561
20450,0.0005,0.0004,0.0003,0.2569,0.1911,0.1059,0.2315,0.2909,0.3323,0.6786,0.66735,0.6561
20500,0.0004,0.0014,0.0005,0.9209,0.5056,0.3663,0.3327,0.3663,0.3388,0.6592,0.65925,0.6593
20550,0.0005,0.0009,0.0003,0.3692,0.3494,0.1159,0.3969,0.3636,0.338,0.6618,0.66915,0.6765
20600,0.0005,0.0006,0.0003,0.3853,0.3993,0.4306,0.7526,0.329,0.3609,0.6691,0.70805,0.747
20650,0.0006,0.0008,0.0003,0.3423,0.3374,0.1272,0.2426,0.3063,0.3568,0.7016,0.6896,0.6776
20700,0.0004,0.0005,0.0003,0.2781,0.217,0.1069,0.2328,0.2725,0.3213,0.6782,0.68275,0.6873
20750,0.0005,0.0009,0.0003,0.3181,0.2866,0.1168,0.2352,0.2984,0.3281,0.6936,0.6854,0.6772
20800,0.0004,0.0006,0.0004,0.4019,0.2876,0.1182,0.2534,0.2982,0.3258,0.677,0.6848,0.6926
20850,0.0004,0.0013,0.0003,0.349,0.3508,0.1195,0.2378,0.3103,0.3256,0.7069,0.6983,0.6897
20900,0.0004,0.0006,0.0003,0.2695,0.2465,0.214,0.4208,0.2877,0.3174,0.6842,0.68375,0.6833
20950,0.0005,0.0006,0.0004,0.3687,0.2942,0.2341,0.247,0.2804,0.3274,0.6887,0.689,0.6893
21000,0.0006,0.0007,0.0004,0.5531,0.5102,0.2921,0.2617,0.2713,0.3414,0.697,0.7542,0.8114
21050,0.0005,0.0012,0.0005,0.7136,1.1943,0.5262,0.5646,0.324,0.3574,0.7131,0.70115,0.6892
21100,0.0005,0.0005,0.0003,0.2883,0.3306,0.1475,0.2456,0.3037,0.4106,0.7051,0.70125,0.6974
21150,0.0005,0.0003,0.0003,0.2451,0.2109,0.113,0.2369,0.2982,0.4182,0.6998,0.72195,0.7441
21200,0.0008,0.0007,0.0003,0.3886,0.3058,0.1069,0.2306,0.2875,0.3833,0.7424,0.72465,0.7069
21250,0.0007,0.0011,0.0003,0.3291,0.2938,0.1287,0.2412,0.2821,0.3346,0.7017,0.7092,0.7167
21300,0.0004,0.0005,0.0003,0.2907,0.2417,0.1158,0.2426,0.3095,0.3389,0.7305,0.72025,0.71
21350,0.0005,0.0008,0.0003,0.3694,0.2771,0.2034,0.2433,0.2801,0.3212,0.7165,0.7115,0.7065
21400,0.0007,0.0004,0.0003,0.3334,0.3122,0.3565,0.2904,0.3179,0.3488,0.7068,0.7077,0.7086
21450,0.0005,0.001,0.0002,0.5769,0.2952,0.1225,0.2445,0.2849,0.3295,0.7021,0.7158,0.7295
21500,0.0005,0.0008,0.0003,0.329,0.9125,0.5385,0.7327,0.3383,0.3447,0.7096,0.7084,0.7072
21550,0.0005,0.0004,0.0003,0.3014,0.518,0.3662,0.2961,0.3148,0.3635,0.7042,0.70325,0.7023
21600,0.0004,0.0003,0.0003,0.2802,0.2683,0.2234,0.2588,0.2978,0.3501,0.7924,0.75595,0.7195
21650,0.0005,0.0003,0.0003,0.3357,0.2989,0.1104,0.2365,0.3888,0.3169,0.7007,0.72195,0.7432
21700,0.0009,0.0008,0.0004,0.4463,0.545,0.2602,0.255,0.3107,0.3379,0.7863,0.75185,0.7174
21750,0.0004,0.0003,0.0003,0.3049,0.2891,0.1838,0.2935,0.2815,0.3244,0.7256,0.72185,0.7181
21800,0.0004,0.0008,0.0003,0.3036,0.264,0.174,0.2422,0.2826,0.33,0.7455,0.73755,0.7296
21850,0.0005,0.0003,0.0003,0.7205,0.3595,0.3667,0.5835,0.5139,0.421,0.7291,0.72855,0.728
21900,0.0005,0.0007,0.0003,0.3323,0.2848,0.2243,0.2405,0.2825,0.3243,0.7236,0.7313,0.739
21950,0.0005,0.0006,0.0003,0.4155,0.3278,0.1377,0.2517,0.3184,0.3616,0.7224,0.7224,0.7224
22000,0.0004,0.0004,0.0003,0.5134,0.4496,0.2671,0.2939,0.403,0.4086,0.7566,0.74055,0.7245
22050,0.0005,0.0164,0.0007,0.3829,0.3476,0.1334,0.263,0.2979,0.3671,0.7436,0.7617,0.7798
22100,0.0005,0.0005,0.0003,0.3072,0.29,0.2099,0.2598,0.2951,0.3393,0.7294,0.72905,0.7287
22150,0.0004,0.0003,0.0003,0.4848,0.3833,0.6172,0.7552,0.3087,0.3599,0.8748,0.84575,0.8167
22200,0.0005,0.001,0.0003,0.3764,0.2684,0.1623,0.2712,0.295,0.3444,0.7373,0.7612,0.7851
22250,0.001,0.0008,0.0003,0.3886,0.288,0.1238,0.266,0.3024,0.4024,0.7375,0.73625,0.735
22300,0.0005,0.0004,0.0004,0.9448,0.4603,0.2479,0.2738,0.3091,0.3426,0.7594,0.83285,0.9063
